track_id,track_name,album_name,release_date,popularity,artist_ids
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),folklore,2020-07-24,76,"['06HL4z0CvFAxyc27GXpf02', '4LEiUm1SRbFMgfqnQTwUbQ']"
4k7x3QKrc3h3U0Viqk0uop,Rosyln,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),2009-10-16,75,"['4LEiUm1SRbFMgfqnQTwUbQ', '7bcbShaqKdcyjnmv4Ix8j6']"
3B3eOgLJSqPEA0RfboIQVM,Skinny Love,"For Emma, Forever Ago",2008-02-19,73,['4LEiUm1SRbFMgfqnQTwUbQ']
2LXtyj95dK56ENS1QLt4IB,Beach Baby,Blood Bank,2009-01-20,73,['4LEiUm1SRbFMgfqnQTwUbQ']
3WFsgPXDeNbrV63g6Ua8yv,evermore (feat. Bon Iver),evermore,2020-12-11,24,"['06HL4z0CvFAxyc27GXpf02', '4LEiUm1SRbFMgfqnQTwUbQ']"
05qoJ1JUl7LJxB6kp24DSP,S P E Y S I D E,"SABLE,",2024-10-18,64,['4LEiUm1SRbFMgfqnQTwUbQ']
4Zj2uX6ApCFK9XzjwIhCIr,Boys Of Faith (feat. Bon Iver),Boys Of Faith (feat. Bon Iver),2023-09-21,68,"['40ZNYROS4zLfyyBSs2PGe2', '4LEiUm1SRbFMgfqnQTwUbQ']"
7rIhp6EWLNtM8qFIQruJPT,Wash.,"Bon Iver, Bon Iver",2011-06-21,69,['4LEiUm1SRbFMgfqnQTwUbQ']
2nilAlGEZmwyaLTMMyDdLo,For Emma,"For Emma, Forever Ago",2008-02-19,69,['4LEiUm1SRbFMgfqnQTwUbQ']
35KiiILklye1JRRctaLUb4,Holocene,"Bon Iver, Bon Iver",2011-06-21,67,['4LEiUm1SRbFMgfqnQTwUbQ']
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,2019-06-15,73,"['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']"
3Vg7nPYlOrCkcV1abKbRQ1,Everyday Hustle,WE DON'T TRUST YOU,2024-03-22,68,"['1RyvyyTE3xzB2ZywiAwp0i', '0iEtIxbK0KxaSlF7G42ZOp', '1sBkRIssrMs1AbVkOJbc7a']"
5W7xC99N2Zzfh69r7I7zWK,Aston Martin Music,Teflon Don,2010-01-01,67,"['1sBkRIssrMs1AbVkOJbc7a', '3TVXtAsR1Inumwj472S9r4', '3YJMzGjAm245zwJooY7PEj']"
0nq6sfr8z1R5KJ4XUk396e,Stay Schemin,Stay Schemin,2012-01-01,66,"['1sBkRIssrMs1AbVkOJbc7a', '6vXTefBL93Dj5IqAWq6OTv', '3TVXtAsR1Inumwj472S9r4']"
3hQCHzkE5oSA3F1xM8bpcM,Hustlin',Port Of Miami,2006-01-01,65,['1sBkRIssrMs1AbVkOJbc7a']
6JyuJFedEvPmdWQW0PkbGJ,Purple Lamborghini (with Rick Ross),Purple Lamborghini (with Rick Ross),2016-07-22,62,"['5he5w2lnU9x7JFhnwcekXX', '1sBkRIssrMs1AbVkOJbc7a']"
50ceCGZ3oD3U5caQV5bP6f,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,2021-09-03,59,"['3TVXtAsR1Inumwj472S9r4', '55Aa2cqylxrFIXC767Z865', '1sBkRIssrMs1AbVkOJbc7a']"
55E78MhBGQ4IPZcQ3R5BAH,Here I Am,Trilla,2008-01-01,58,"['1sBkRIssrMs1AbVkOJbc7a', '2gBjLmx6zQnFGQJCAQpRgw', '79OSA519ScnPY0MVDpu8ZV']"
2sOj9vyd6yiss9W1IK6chU,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",GOD DID,2022-08-26,57,"['0QHgL1lAIqAw0HtD7YldmP', '1sBkRIssrMs1AbVkOJbc7a', '55Aa2cqylxrFIXC767Z865', '3nFkdlSjzX9mRTtwJOzDYB', '5y2Xq6xcjJb2jVM54GHK3t', '7sP4SQ0WY6jfps1I19Ot7i']"
15NQ3x1f2GUhqs8oBXhTqp,Scottie Beam,Alfredo,2020-05-29,56,"['0Y4inQK6OespitzD6ijMwb', '0eVyjRhzZKke2KFYTcDkeu', '1sBkRIssrMs1AbVkOJbc7a']"
2LskIZrCeLxRvCiGP8gxlh,Arms Around You (feat. Maluma & Swae Lee),Arms Around You (feat. Maluma & Swae Lee),2018-10-25,67,"['15UsOTVnJzReFVN1VCnxy4', '3wyVrVrFCkukjdVIdirGVY', '1zNqQNIdeOUZHb8zbZRFMX', '1r4hJ1h58CWwUQe3MxPuau']"
4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),I Love It,2018-09-07,67,"['5K4W6rqBFWDnAN6FQUkS6x', '3wyVrVrFCkukjdVIdirGVY']"
5mqzhMuUpvnMfwNz6iepmO,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]",2018-05-15,61,"['5fMUXHkw8R8eOP2RNVYEZX', '6vXTefBL93Dj5IqAWq6OTv', '3wyVrVrFCkukjdVIdirGVY', '1CO6e7WRJvSFenmQO8n64C']"
1E39KEleLbU1v1cawR6jSc,Coronao Now,El Androide,2020-05-15,59,"['2oQX8QiMXOyuqbcZEFsZfm', '3wyVrVrFCkukjdVIdirGVY']"
43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump,2017-10-06,57,['3wyVrVrFCkukjdVIdirGVY']
0uh4uwRocrp2lJICazcq1V,Coração De Pedra,Coração De Pedra,2024-11-28,55,"['7me0S5Z40qVWj3gzyK8aC3', '3wyVrVrFCkukjdVIdirGVY', '1rIc4yTieeRq25NA3T8RQ5', '5s27i7oqhNWIcE4HeoVdq0', '04QHNiih9ZesPvals6II1h', '21ELc2P2rA3Cu6xw3VWqvv', '5SholNdfQZrHBSrOJ6C34X', '2Ci1Tt7bCEU3OTByr1nc0y', '1cYhx7ZOhYoVmnDPb9KMwo']"
3ftB5T412JJ20IgpQgeCW8,YUMMY!,PROYECTO A-KLEIN,2024-05-30,52,"['35oGZihZclGoTVuICPXRP9', '3wyVrVrFCkukjdVIdirGVY', '07WSqyexqFJM0ZeQVPqJJg']"
31gUUwByx4pmnA8KAFkhhH,Esskeetit,Harverd Dropout,2019-02-22,46,['3wyVrVrFCkukjdVIdirGVY']
1rsAFUCa6BVMgRQ3FCQQsi,Boss,Lil Pump,2017-10-06,52,['3wyVrVrFCkukjdVIdirGVY']
08B8heF08g59b3CzC5sKEd,Coronao Now - Remix,Coronao Now (Remix),2020-02-12,51,"['2oQX8QiMXOyuqbcZEFsZfm', '3wyVrVrFCkukjdVIdirGVY', '77ziqFxp5gaInVrF2lj4ht', '7iK8PXO48WeuP03g8YR51W', '3dtkct6MUrKfxCUWLgnGAD']"
5fEB6ZmVkg63GZg9qO86jh,Break from Toronto,PARTYNEXTDOOR,2013-07-01,83,['2HPaUgqeutzr3jx5a9WyDV']
35sZOqVnTQNIGWGURrFdLh,Dreamin,Dreamin,2015-03-08,81,['2HPaUgqeutzr3jx5a9WyDV']
12VH4g5pTMZmrUVzfJq7F7,M a k e I t T o T h e M o r n i n g,PARTYNEXTDOOR 4 (P4),2024-04-26,80,['2HPaUgqeutzr3jx5a9WyDV']
5c3luoCub1Z1Gg74NdNtuq,Belong to the City,PARTYNEXTDOOR TWO,2014-07-29,79,['2HPaUgqeutzr3jx5a9WyDV']
1zhMHgotgZXkLCXpqNRnPK,N o C h i l l,PARTYNEXTDOOR 4 (P4),2024-04-26,78,['2HPaUgqeutzr3jx5a9WyDV']
236P5yLtfnHgTMxevc0q6F,TBH,PARTYNEXTDOOR,2013-07-01,76,['2HPaUgqeutzr3jx5a9WyDV']
3JEJwjqLkg2Jbau5922CAb,Her Way,PARTYNEXTDOOR TWO,2014-07-29,76,['2HPaUgqeutzr3jx5a9WyDV']
0NHvTrD8Igke3fawcp3njY,Wus Good / Curious,PARTYNEXTDOOR,2013-07-01,74,['2HPaUgqeutzr3jx5a9WyDV']
2d93r7U06Wx7uJfU2q9Nza,F o r C e r t a i n,PARTYNEXTDOOR 4 (P4),2024-04-25,69,['2HPaUgqeutzr3jx5a9WyDV']
6cEguiQecbXrFlsnMi2ysr,Come and See Me (feat. Drake),PARTYNEXTDOOR 3 (P3),2016-08-12,72,"['2HPaUgqeutzr3jx5a9WyDV', '3TVXtAsR1Inumwj472S9r4']"
3TkNsftUBh8dwwLUHpmYNC,Find A Way,Subject,2003-01-01,48,['7u6LfVyYpEzMpHLL7jTyvU']
1TlEEopIktdAi8oWRf9Qx6,I Think I Love You,Some Kinda...,2005-01-01,41,['7u6LfVyYpEzMpHLL7jTyvU']
4l1CuxaEzk15o3g6bn7lZU,Open Your Eyes,Sketches Of A Man,2008-06-24,36,['7u6LfVyYpEzMpHLL7jTyvU']
1i8XHUZkVdoOCfFumL0Zqt,Truth,Subject,2003-01-01,35,['7u6LfVyYpEzMpHLL7jTyvU']
6Qvpa87llLt3iEvZ3QiPd1,Hold On - Remix,Hold On (Remix),2004-01-01,35,"['7u6LfVyYpEzMpHLL7jTyvU', '5K4W6rqBFWDnAN6FQUkS6x', '5KkgZ31b9eDwkvo9oMIrSm']"
3E1bgAwE9veLugVplEMr4l,Weekend Love,Some Kinda...,2005-01-01,32,['7u6LfVyYpEzMpHLL7jTyvU']
3sDeuisFRzTK7dfwlNvoNK,A.N.G.E.L. - Interlude,Subject,2003-01-01,31,['7u6LfVyYpEzMpHLL7jTyvU']
2x8piiRILuyAArjRvkoT4p,I'm Cheatin',Sketches Of A Man,2008-06-24,28,['7u6LfVyYpEzMpHLL7jTyvU']
